event_id,intention_id,event_date,event_type,hours_spent,note,title,category_name,status
126,116,2024-05-05,RESEARCHED,0.5,,Create a monthly budget,Financial,ABANDONED
127,240,2023-03-17,CREATED,0.0,,Plan a trip itinerary,Travel,OPEN/STALLED
128,237,2023-09-18,RESEARCHED,0.3,,Research flights for a trip,Travel,ABANDONED
129,267,2024-09-01,CONTINUED,12.3,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
130,186,2025-03-12,PLANNED,0.0,,FIND A MENTOR IN MY FIELD,Career,COMPLETED
131,90,2024-03-28,CREATED,0.0,,Learn key phrases for a trip,Travel,ABANDONED
132,108,2025-02-25,RESEARCHED,2.0,,Repair a strained relationship,Relationships,OPEN/STALLED
133,308,2025-05-10,CONTINUED,0.8,,Try a new craft technique,Creative,COMPLETED
134,171,2025-01-02,CONTINUED,0.9,,Build a personal data project,Side Project,COMPLETED
135,170,2024-04-13,CONTINUED,3.1,,Research a relocation destination,Travel,ABANDONED
136,86,2024-11-13,CREATED,0.0,,Start a freelance side gig,Side Project,REPLACED
137,271,2025-01-09,RESEARCHED,0.4,,Start a small garden,Hobby,ABANDONED
138,308,2025-02-03,STARTED,0.0,,Try a new craft technique,Creative,COMPLETED
139,55,2024-02-23,POSTPONED,0.0,Unclear next step,Schedule regular calls with family,Relationships,COMPLETED
140,293,2023-04-25,RESEARCHED,0.0,,Complete a data visualization course,Learning & Skills,OPEN/STALLED
141,308,2025-06-02,POSTPONED,0.0,Overestimated effort required,Try a new craft technique,Creative,COMPLETED
142,14,2024-07-27,PLANNED,0.0,,Start journaling regularly,Hobby,REPLACED
143,196,2025-05-16,REPLACED,0.0,Replaced by a different priority,Ask for a performance review,Career,REPLACED
144,307,2023-10-07,POSTPONED,0.0,Lack of motivation,Learn a new design software,Creative,OPEN/STALLED
145,182,2024-09-24,STARTED,0.0,,Plan a savings goal,Financial,COMPLETED
146,36,2023-08-19,CREATED,0.0,,LEARN CONVERSATIONAL SPANISH,Learning & Skills,OPEN/STALLED
147,157,2025-05-04,CONTINUED,0.7,,Research a relocation destination,Travel,COMPLETED
148,51,2023-04-07,CONTINUED,2.5,,Organize digital files,Home & Admin,COMPLETED
149,79,2025-06-17,CREATED,0.0,,Update CV and LinkedIn profile,Career,OPEN/STALLED
150,127,2024-06-07,CONTINUED,1.0,,Book a long-postponed trip,Travel,COMPLETED
151,54,2024-09-03,RESEARCHED,1.8,,Complete a data visualization course,Learning & Skills,OPEN/STALLED
152,26,2024-05-27,CREATED,0.0,,Ask for a performance review,Career,ABANDONED
153,318,2024-09-22,CREATED,0.0,,Plan a trip itinerary,Travel,ABANDONED
154,184,2024-02-14,RESEARCHED,0.0,,Build a personal dashboard,Side Project,OPEN/STALLED
155,134,2025-04-05,CONTINUED,1.8,,Plan a savings goal,Financial,OPEN/STALLED
156,111,2023-07-12,PLANNED,0.0,,LEARN TO COOK HEALTHIER MEALS,Fitness & Health,COMPLETED
157,65,2025-05-21,RESEARCHED,1.0,,Learn touch typing,Learning & Skills,OPEN/STALLED
158,114,2023-12-12,RESEARCHED,0.3,,Compare insurance providers,Financial,OPEN/STALLED
159,101,2024-10-03,CREATED,0.0,,Start a niche newsletter,Side Project,ABANDONED
160,264,2023-02-16,CREATED,0.0,,Start a freelance side gig,Side Project,OPEN/STALLED
161,60,2024-03-15,POSTPONED,0.0,Overestimated effort required,Start a photography project,Creative,REPLACED
162,49,2024-03-13,CONTINUED,1.1,,Set up automatic savings,Financial,COMPLETED
163,207,2025-05-02,CREATED,0.0,,Collect and organize a hobby set,Hobby,OPEN/STALLED
164,316,2024-01-19,CREATED,0.0,,Plan a family visit,Relationships,ABANDONED
165,38,2023-02-08,RESEARCHED,0.0,,WRITE SHORT STORIES WEEKLY,Creative,OPEN/STALLED
166,188,2024-01-27,REPLACED,0.0,Replaced by a different priority,Contribute to an open-source project,Side Project,REPLACED
167,163,2023-01-27,CREATED,0.0,,START A PUZZLE-SOLVING HABIT,Hobby,OPEN/STALLED
168,203,2025-06-29,POSTPONED,0.0,Competing priorities,Track spending for a month,Financial,OPEN/STALLED
169,39,2024-08-06,COMPLETED,0.0,,Start a freelance side gig,Side Project,COMPLETED
170,197,2023-11-12,STARTED,0.0,,Write a long-overdue message,Relationships,COMPLETED
171,268,2025-05-03,CREATED,0.0,,Build a personal dashboard,Side Project,COMPLETED
172,267,2024-02-24,PLANNED,0.0,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
173,306,2023-11-10,RESEARCHED,1.1,,Plan a road trip route,Travel,COMPLETED
174,218,2025-04-22,CREATED,0.0,,Start a small garden,Hobby,OPEN/STALLED
175,263,2024-01-27,CONTINUED,3.5,,Plan a family visit,Relationships,COMPLETED
176,93,2023-02-17,CREATED,0.0,,Start daily stretching,Fitness & Health,OPEN/STALLED
177,112,2024-07-31,CREATED,0.0,,JOIN A LOCAL SOCIAL GROUP,Relationships,OPEN/STALLED
178,45,2023-12-23,POSTPONED,0.0,Lack of time,Write a long-overdue message,Relationships,OPEN/STALLED
179,76,2023-12-07,CONTINUED,4.0,,Review and cut subscriptions,Financial,OPEN/STALLED
180,274,2025-07-04,CONTINUED,60.0,,Learn touch typing,Learning & Skills,OPEN/STALLED
181,214,2025-05-02,STARTED,0.0,,Plan a weekend getaway,Travel,COMPLETED
182,212,2023-08-29,RESEARCHED,1.8,,Write a long-overdue message,Relationships,OPEN/STALLED
183,219,2024-05-16,PLANNED,0.0,,Read one book on statistics,Learning & Skills,OPEN/STALLED
184,237,2023-08-25,RESEARCHED,0.5,,Research flights for a trip,Travel,ABANDONED
185,248,2024-07-23,CREATED,0.0,,Renew an expiring document,Home & Admin,OPEN/STALLED
186,121,2023-05-28,PLANNED,0.0,,Start a home workout routine,Fitness & Health,OPEN/STALLED
187,52,2023-04-03,RESEARCHED,0.0,,Build a portfolio website,Career,OPEN/STALLED
188,111,2023-10-17,COMPLETED,0.0,,LEARN TO COOK HEALTHIER MEALS,Fitness & Health,COMPLETED
189,291,2024-06-29,POSTPONED,0.0,No accountability,FIX A RECURRING HOUSEHOLD ISSUE,Home & Admin,COMPLETED
190,194,2024-03-20,CREATED,0.0,,WRITE SHORT STORIES WEEKLY,Creative,OPEN/STALLED
191,267,2024-02-18,RESEARCHED,1.5,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
192,312,2023-12-30,CONTINUED,4.9,,Start a small blog,Side Project,COMPLETED
193,1,2025-02-23,PLANNED,0.0,,Learn SQL properly,Learning & Skills,OPEN/STALLED
194,99,2025-04-30,CREATED,0.0,,COLLECT AND ORGANIZE A HOBBY SET,Hobby,OPEN/STALLED
195,291,2024-05-27,CONTINUED,0.4,,FIX A RECURRING HOUSEHOLD ISSUE,Home & Admin,COMPLETED
196,241,2023-03-18,RESEARCHED,0.6,,Start journaling regularly,Hobby,ABANDONED
197,31,2024-05-12,CREATED,0.0,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
198,312,2024-04-08,POSTPONED,0.0,Low energy / burnout,Start a small blog,Side Project,COMPLETED
199,76,2023-11-14,PLANNED,0.0,,Review and cut subscriptions,Financial,OPEN/STALLED
200,53,2024-11-22,CREATED,0.0,,Start a houseplant collection,Hobby,OPEN/STALLED
201,215,2023-06-17,RESEARCHED,1.0,,Research a relocation destination,Travel,OPEN/STALLED
202,154,2024-12-04,RESEARCHED,1.5,,Redesign a personal art portfolio,Creative,OPEN/STALLED
203,97,2025-06-08,PLANNED,0.0,,Prepare for technical interviews,Career,OPEN/STALLED
204,120,2025-05-11,POSTPONED,0.0,Lack of motivation,Research flights for a trip,Travel,OPEN/STALLED
205,183,2024-07-05,CREATED,0.0,,Learn to cook healthier meals,Fitness & Health,OPEN/STALLED
206,108,2025-02-04,CREATED,0.0,,Repair a strained relationship,Relationships,OPEN/STALLED
207,56,2024-03-04,RESEARCHED,2.4,,Redesign a personal art portfolio,Creative,ABANDONED
208,168,2024-01-17,POSTPONED,0.0,Competing priorities,Learn conversational Spanish,Learning & Skills,ABANDONED
209,146,2024-03-27,CREATED,0.0,,PLAN A TRIP ITINERARY,Travel,OPEN/STALLED
210,173,2023-11-17,CONTINUED,4.1,,Plan a solo trip,Travel,COMPLETED
211,166,2024-04-01,RESEARCHED,0.0,,Start meditating daily,Fitness & Health,OPEN/STALLED
212,8,2025-06-09,PLANNED,0.0,,Start a puzzle-solving habit,Hobby,OPEN/STALLED
213,176,2024-05-09,RESEARCHED,0.6,,Write short stories weekly,Creative,ABANDONED
214,31,2024-05-30,PLANNED,0.0,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
215,50,2023-12-12,RESEARCHED,0.0,,Train for a 5k run,Fitness & Health,OPEN/STALLED
216,276,2025-07-04,CONTINUED,60.0,,Try a new craft technique,Creative,COMPLETED
217,319,2025-05-15,RESEARCHED,0.0,,RESEARCH INVESTMENT OPTIONS,Financial,OPEN/STALLED
218,34,2025-01-17,CREATED,0.0,,Contribute to an open-source project,Side Project,OPEN/STALLED
219,274,2025-06-08,RESEARCHED,0.5,,Learn touch typing,Learning & Skills,OPEN/STALLED
220,168,2024-04-08,ABANDONED,0.0,Lost interest,Learn conversational Spanish,Learning & Skills,ABANDONED
221,145,2023-04-16,CREATED,0.0,,Learn to cook healthier meals,Fitness & Health,OPEN/STALLED
222,95,2024-03-31,POSTPONED,0.0,Lack of motivation,Repair a strained relationship,Relationships,ABANDONED
223,227,2025-01-10,PLANNED,0.0,,Organize digital files,Home & Admin,ABANDONED
224,274,2025-06-25,STARTED,0.0,,Learn touch typing,Learning & Skills,OPEN/STALLED
225,49,2023-10-20,CREATED,0.0,,Set up automatic savings,Financial,COMPLETED
226,169,2025-05-05,RESEARCHED,0.9,,Compare insurance providers,Financial,ABANDONED
227,150,2023-06-09,REPLACED,0.0,Replaced by a different priority,Read one book on statistics,Learning & Skills,REPLACED
228,45,2023-12-27,PLANNED,0.0,,Write a long-overdue message,Relationships,OPEN/STALLED
229,170,2024-05-12,CONTINUED,0.5,,Research a relocation destination,Travel,ABANDONED
230,90,2024-04-16,RESEARCHED,2.2,,Learn key phrases for a trip,Travel,ABANDONED
231,96,2024-01-28,POSTPONED,0.0,No accountability,Learn touch typing,Learning & Skills,COMPLETED
232,65,2025-04-29,CREATED,0.0,,Learn touch typing,Learning & Skills,OPEN/STALLED
233,84,2023-06-30,COMPLETED,0.0,,Automate a recurring bill payment,Home & Admin,COMPLETED
234,275,2024-02-20,RESEARCHED,1.8,,Start a small blog,Side Project,ABANDONED
235,305,2024-02-25,CREATED,0.0,,Plan a solo trip,Travel,ABANDONED
236,291,2024-03-07,RESEARCHED,0.5,,FIX A RECURRING HOUSEHOLD ISSUE,Home & Admin,COMPLETED
237,298,2023-04-06,CREATED,0.0,,Reduce screen time before bed,Fitness & Health,ABANDONED
238,55,2023-09-25,CREATED,0.0,,Schedule regular calls with family,Relationships,COMPLETED
239,13,2023-08-03,CREATED,0.0,,Set up a filing system,Home & Admin,ABANDONED
240,159,2023-03-03,CREATED,0.0,,Train for a 5k run,Fitness & Health,COMPLETED
241,95,2024-07-14,ABANDONED,0.0,Blocked by dependency,Repair a strained relationship,Relationships,ABANDONED
242,169,2025-06-05,RESEARCHED,0.5,,Compare insurance providers,Financial,ABANDONED
243,7,2023-06-16,RESEARCHED,0.0,,Study for a certification exam,Learning & Skills,ABANDONED
244,90,2024-05-11,RESEARCHED,3.9,,Learn key phrases for a trip,Travel,ABANDONED
245,117,2024-11-14,RESEARCHED,1.9,,Deep clean the kitchen,Home & Admin,ABANDONED
246,170,2023-11-23,RESEARCHED,0.2,,Research a relocation destination,Travel,ABANDONED
247,267,2024-10-06,CONTINUED,9.0,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
248,20,2024-10-25,PLANNED,0.0,,Start a small garden,Hobby,COMPLETED
249,57,2025-07-08,ABANDONED,0.0,Unclear next step,Research visa requirements,Travel,ABANDONED
250,139,2024-01-09,RESEARCHED,1.7,,Build a personal dashboard,Side Project,ABANDONED
251,198,2023-05-06,POSTPONED,0.0,Low energy / burnout,Improve sleep schedule,Fitness & Health,OPEN/STALLED
252,37,2023-01-08,CREATED,0.0,,Learn basic woodworking,Hobby,OPEN/STALLED
253,130,2024-03-06,CONTINUED,0.8,,Start a puzzle-solving habit,Hobby,COMPLETED
254,51,2023-02-26,RESEARCHED,0.0,,Organize digital files,Home & Admin,COMPLETED
255,200,2025-02-04,ABANDONED,0.0,Lack of money,Start sketching daily,Creative,ABANDONED
256,91,2024-06-09,COMPLETED,0.0,,Start going to the gym 3x/week,Fitness & Health,COMPLETED
257,9,2024-11-11,CONTINUED,4.9,,Plan a family visit,Relationships,COMPLETED
258,90,2024-04-04,RESEARCHED,0.5,,Learn key phrases for a trip,Travel,ABANDONED
259,246,2023-06-08,RESEARCHED,0.0,,Set up automatic savings,Financial,OPEN/STALLED
260,20,2024-09-02,RESEARCHED,3.1,,Start a small garden,Hobby,COMPLETED
261,136,2025-01-02,RESEARCHED,2.3,,Prototype a small app idea,Side Project,OPEN/STALLED
262,301,2023-03-21,CREATED,0.0,,Improve sleep schedule,Fitness & Health,OPEN/STALLED
263,298,2023-05-08,PLANNED,0.0,,Reduce screen time before bed,Fitness & Health,ABANDONED
264,294,2025-01-11,CREATED,0.0,,Pay off a small debt,Financial,OPEN/STALLED
265,224,2025-07-27,POSTPONED,0.0,Blocked by dependency,Start journaling regularly,Hobby,OPEN/STALLED
266,40,2025-02-11,RESEARCHED,0.4,,BUILD AN AUTOMATION SCRIPT,Side Project,ABANDONED
267,276,2025-03-29,RESEARCHED,1.2,,Try a new craft technique,Creative,COMPLETED
268,179,2024-10-06,PLANNED,0.0,,Organize a small get-together,Relationships,ABANDONED
269,161,2024-07-06,CREATED,0.0,,Learn the basics of investing,Financial,ABANDONED
270,83,2024-12-04,CREATED,0.0,,Build a personal dashboard,Side Project,OPEN/STALLED
271,127,2024-09-15,POSTPONED,0.0,Competing priorities,Book a long-postponed trip,Travel,COMPLETED
272,152,2023-11-01,CREATED,0.0,,Plan a trip itinerary,Travel,OPEN/STALLED
273,147,2023-04-27,CREATED,0.0,,Track spending for a month,Financial,OPEN/STALLED
274,120,2025-02-24,CREATED,0.0,,Research flights for a trip,Travel,OPEN/STALLED
275,230,2023-10-01,RESEARCHED,1.5,,Ask for a performance review,Career,OPEN/STALLED
276,299,2023-01-26,RESEARCHED,1.1,,Build an automation script,Side Project,OPEN/STALLED
277,39,2023-12-19,POSTPONED,0.0,Lack of time,Start a freelance side gig,Side Project,COMPLETED
278,73,2025-04-01,CREATED,0.0,,Update personal records,Home & Admin,OPEN/STALLED
279,213,2023-10-19,RESEARCHED,0.4,,Build a personal dashboard,Side Project,REPLACED
280,131,2023-11-11,RESEARCHED,2.2,,Track spending for a month,Financial,OPEN/STALLED
281,214,2025-07-11,COMPLETED,0.0,,Plan a weekend getaway,Travel,COMPLETED
282,91,2024-03-20,CONTINUED,3.5,,Start going to the gym 3x/week,Fitness & Health,COMPLETED
283,317,2023-05-21,CREATED,0.0,,Renew an expiring document,Home & Admin,OPEN/STALLED
284,129,2025-04-05,RESEARCHED,0.3,,Learn a card or board game deeply,Hobby,OPEN/STALLED
285,197,2023-09-08,CREATED,0.0,,Write a long-overdue message,Relationships,COMPLETED
286,55,2023-11-14,POSTPONED,0.0,Overestimated effort required,Schedule regular calls with family,Relationships,COMPLETED
287,193,2025-01-12,ABANDONED,0.0,Perfectionism / fear of failure,Build a personal data project,Side Project,ABANDONED
288,289,2024-11-10,RESEARCHED,4.7,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
289,111,2023-07-21,STARTED,0.0,,LEARN TO COOK HEALTHIER MEALS,Fitness & Health,COMPLETED
290,247,2025-05-29,CONTINUED,2.9,,Finish an online Python course,Learning & Skills,COMPLETED
